((B^*).(A.A)) |- (((B^*).(A.A))|((A.A).(A.B))):((B)*)AA |- (((B)*)AA|AAAB), 4, 8 , 1, 7, 0.071 , 1, 1, 0.00899999999998 
(((B^*).(A.A))|((A.A).(A.B))) |- ((B^*).(A.A)):(((B)*)AA|AAAB) |- ((B)*)AA, 8, 4 , 0, 8, 0.069 , 0, 5, 0.042 
((B^*).(A.A)) |- ((A.A).(A.B)):((B)*)AA |- AAAB, 4, 5 , 0, 4, 0.035 , 0, 2, 0.00800000000001 
((A.A).(A.B)) |- ((B^*).(A.A)):AAAB |- ((B)*)AA, 5, 4 , 0, 4, 0.035 , 0, 4, 0.013 
((B^*).(A.A)) |- ((B.B).(B.B)):((B)*)AA |- BBBB, 4, 5 , 0, 11, 0.046 , 0, 6, 0.025 
((B.B).(A.A)) |- (((B.B).(A.A))|((A.A)|(B|B))):BBAA |- (BBAA|(AA|(B|B))), 5, 8 , 1, 5, 0.0540000000001 , 1, 1, 0.00600000000001 
(((B.B).(A.A))|((A.A)|(B|B))) |- ((B.B).(A.A)):(BBAA|(AA|(B|B))) |- BBAA, 8, 5 , 0, 3, 0.04 , 0, 2, 0.014 
((B.B).(A.A)) |- ((A.A)|(B|B)):BBAA |- (AA|(B|B)), 5, 4 , 0, 3, 0.0309999999999 , 0, 3, 0.012 
((A.A)|(B|B)) |- ((B.B).(A.A)):(AA|(B|B)) |- BBAA, 4, 5 , 0, 3, 0.028 , 0, 2, 0.00999999999995 
((B.B).(A.A)) |- ((B.A).(A|A)):BBAA |- BA(A|A), 5, 4 , 0, 3, 0.026 , 0, 3, 0.01 
((A|B)|(A.B)) |- (((A|B)|(A.B))|((B.B).(A.B))):((A|B)|AB) |- (((A|B)|AB)|BBAB), 4, 8 , 1, 4, 0.057 , 1, 1, 0.01 
(((A|B)|(A.B))|((B.B).(A.B))) |- ((A|B)|(A.B)):(((A|B)|AB)|BBAB) |- ((A|B)|AB), 8, 4 , 0, 5, 0.057 , 0, 4, 0.028 
((A|B)|(A.B)) |- ((B.B).(A.B)):((A|B)|AB) |- BBAB, 4, 5 , 0, 3, 0.031 , 0, 2, 0.013 
((B.B).(A.B)) |- ((A|B)|(A.B)):BBAB |- ((A|B)|AB), 5, 4 , 0, 3, 0.0319999999999 , 0, 3, 0.014 
((A|B)|(A.B)) |- ((B.B).(A.B)):((A|B)|AB) |- BBAB, 4, 5 , 0, 3, 0.03 , 0, 2, 0.013 
((A|A)|(A.B)) |- (((A|A)|(A.B))|((A|A).(A.A))):((A|A)|AB) |- (((A|A)|AB)|(A|A)AA), 4, 7 , 1, 3, 0.045 , 1, 1, 0.00599999999995 
(((A|A)|(A.B))|((A|A).(A.A))) |- ((A|A)|(A.B)):(((A|A)|AB)|(A|A)AA) |- ((A|A)|AB), 7, 4 , 0, 4, 0.047 , 0, 4, 0.0230000000001 
((A|A)|(A.B)) |- ((A|A).(A.A)):((A|A)|AB) |- (A|A)AA, 4, 4 , 0, 2, 0.027 , 0, 2, 0.00899999999998 
((A|A).(A.A)) |- ((A|A)|(A.B)):(A|A)AA |- ((A|A)|AB), 4, 4 , 0, 3, 0.028 , 0, 3, 0.013 
((A|A)|(A.B)) |- ((A.A).(A|A)):((A|A)|AB) |- AA(A|A), 4, 4 , 0, 2, 0.054 , 0, 2, 0.00899999999998 
((B|A)|(B.A)) |- (((B|A)|(B.A))|((B.A).(A.A))):((B|A)|BA) |- (((B|A)|BA)|BAAA), 4, 8 , 1, 4, 0.056 , 1, 1, 0.00800000000001 
(((B|A)|(B.A))|((B.A).(A.A))) |- ((B|A)|(B.A)):(((B|A)|BA)|BAAA) |- ((B|A)|BA), 8, 4 , 0, 5, 0.057 , 0, 4, 0.033 
((B|A)|(B.A)) |- ((B.A).(A.A)):((B|A)|BA) |- BAAA, 4, 5 , 0, 3, 0.031 , 0, 2, 0.012 
((B.A).(A.A)) |- ((B|A)|(B.A)):BAAA |- ((B|A)|BA), 5, 4 , 0, 4, 0.037 , 0, 4, 0.019 
((B|A)|(B.A)) |- ((A|A).(B.A)):((B|A)|BA) |- (A|A)BA, 4, 4 , 0, 3, 0.029 , 0, 2, 0.011 
((A.A)|(B.A)) |- (((A.A)|(B.A))|((B.B).(B.A))):(AA|BA) |- ((AA|BA)|BBBA), 5, 9 , 1, 5, 0.059 , 1, 1, 0.00700000000003 
(((A.A)|(B.A))|((B.B).(B.A))) |- ((A.A)|(B.A)):((AA|BA)|BBBA) |- (AA|BA), 9, 5 , 0, 6, 0.059 , 0, 5, 0.024 
((A.A)|(B.A)) |- ((B.B).(B.A)):(AA|BA) |- BBBA, 5, 5 , 0, 4, 0.032 , 0, 2, 0.00999999999995 
((B.B).(B.A)) |- ((A.A)|(B.A)):BBBA |- (AA|BA), 5, 5 , 0, 3, 0.031 , 0, 3, 0.012 
((A.A)|(B.A)) |- ((A.B).(B.A)):(AA|BA) |- ABBA, 5, 5 , 0, 4, 0.032 , 0, 3, 0.013 
((A.B).(B.B)) |- (((A.B).(B.B))|((B.B).(A.A))):ABBB |- (ABBB|BBAA), 5, 9 , 1, 5, 0.051 , 1, 1, 0.004 
(((A.B).(B.B))|((B.B).(A.A))) |- ((A.B).(B.B)):(ABBB|BBAA) |- ABBB, 9, 5 , 0, 6, 0.051 , 0, 3, 0.012 
