((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*), 15, 15 , 1, 167, 1.845 , 1, 1, 0. 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((A.B)^*)|((A.A).(A.B)))^*)^*)^*):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((((((AB)*)|AAAB))*))*))*), 15, 7 , 0, 3, 0.17 , 0, 2, 0. 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((A.B)^*)|((B^*)|(A^*))).(((B.A)|(B.A))|((A^*).(A|A)))).((((A|B).(B|B)).((B^*)^*))^*))^*):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((AB)*)|(((B)*)|((A)*)))((BA|BA)|((A)*)(A|A))(((A|B)(B|B)((((B)*))*))*))*), 15, 14 , 0, 23, 0.646 , 0, 2, 0.334000000009 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B^*)|(B.B))|((B|B)^*))^*)|((((B|A)|(B^*))^*)^*)).(((((A^*).(B|B))^*).(((A^*).(B|A)).((A|A)^*)))|((((B|A).(A.A)).((A^*).(A|A)))^*))):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((((B)*)|BB)|(((B|B))*)))*)|((((((B|A)|((B)*)))*))*))(((((A)*)(B|B))*)((A)*)(B|A)(((A|A))*)|(((B|A)AA((A)*)(A|A))*)), 15, 17 , 1, 61, 2.056 , 1, 41, 3.05900000001 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((A^*)^*)|((A.A).(B|B))).(((B|A).(A.B))^*))|((((A|A)|(A.B)).((A.B)|(B^*))).(((B^*)^*)^*)))|(((((B|A)|(B^*))^*).(((A^*).(A^*))^*))|((((A.B)|(B^*))^*).(((B^*)|(B.A))^*)))):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((((A)*))*)|AA(B|B))(((B|A)AB)*)|((A|A)|AB)(AB|((B)*))((((((B)*))*))*))|(((((B|A)|((B)*)))*)((((A)*)((A)*))*)|(((AB|((B)*)))*)(((((B)*)|BA))*))), 15, 25 , 1, 667, 8.362 , 1, 531, 11.14 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((A|A).(A^*))|((A|A)^*)).(((A|A).(A^*)).((B^*)^*)))^*)^*):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- ((((((A|A)((A)*)|(((A|A))*))(A|A)((A)*)((((B)*))*))*))*), 15, 7 , 0, 19, 0.314 , 0, 2, 0. 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B^*).(B^*)).((B|A).(B|A))).(((A^*)^*).((B^*)|(A.B)))).((((A.B)^*).((B^*)^*)).(((A|B).(B.B))|((A|B)^*)))).(((((B^*).(B|A)).((B.B)|(A|A))).(((A|B)|(B.A)).((A.B)|(A|B)))).((((B^*).(B.B))^*)|(((A|B).(A^*))|((B^*)|(B^*)))))):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- ((B)*)((B)*)(B|A)(B|A)((((A)*))*)(((B)*)|AB)((AB)*)((((B)*))*)((A|B)BB|(((A|B))*))((B)*)(B|A)(BB|(A|A))((A|B)|BA)(AB|(A|B))(((((B)*)BB)*)|((A|B)((A)*)|(((B)*)|((B)*)))), 15, 34 , 0, 1, 0.381 , 0, 1, 1688.651 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B.B)^*)^*)|(((A^*)^*)^*))|((((B^*)^*).((A.A).(B|B)))|(((B^*)^*).((B^*).(B.A)))))^*):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- ((((((((BB)*))*)|((((((A)*))*))*))|(((((B)*))*)AA(B|B)|((((B)*))*)((B)*)BA)))*), 15, 12 , 0, 23, 0.451 , 0, 2, 0.0929999999926 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B.B).(A|A)).((A|A)^*))|(((A.A)|(A.B)).((A.B)^*))).((((B^*)^*).((B^*)|(B|B)))^*)).(((((A|A)|(A^*)).((B|B).(B|B))).(((A|A)|(B.B)).((A^*)|(A.A))))|((((B^*)^*)|((A|A)^*))^*))):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (BB(A|A)(((A|A))*)|(AA|AB)((AB)*))((((((B)*))*)(((B)*)|(B|B)))*)(((A|A)|((A)*))(B|B)(B|B)((A|A)|BB)(((A)*)|AA)|(((((((B)*))*)|(((A|A))*)))*)), 15, 26 , 0, 1, 0.376 , 0, 1, 0.242000000014 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((A|B)^*)|((B|B)|(B|A)))^*)^*)|(((((A|A).(A^*))|((A^*).(A^*)))|(((B.B).(A|B))^*)).((((B.B)|(B|A)).((B.A).(B^*))).(((B.A)^*)|((B|B)^*))))):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((((((A|B))*)|((B|B)|(B|A))))*))*)|(((A|A)((A)*)|((A)*)((A)*))|((BB(A|B))*))(BB|(B|A))BA((B)*)(((BA)*)|(((B|B))*))), 15, 19 , 1, 465, 4.677 , 1, 139, 3.873 
((((((B.B).(B|B))^*).(((B|B).(A|A))|((B|A)^*)))|((((A|A).(A|B))^*)|(((B^*).(A|A))|((A|A)^*)))).(((((A.A).(A^*))^*)^*)^*)) |- ((((((B.A)^*)^*).(((B.A)|(B^*))|((A^*).(A^*)))).((((B^*)|(B.A)).((B.A).(A^*)))|(((A^*)|(B^*)).((A|B)^*))))|(((((B.B)^*)|((B.B)|(A^*))).(((B|B).(B^*))|((B|B).(A^*))))^*)):(((BB(B|B))*)((B|B)(A|A)|(((B|A))*))|((((A|A)(A|B))*)|(((B)*)(A|A)|(((A|A))*))))((((((AA((A)*))*))*))*) |- (((((BA)*))*)((BA|((B)*))|((A)*)((A)*))((((B)*)|BA)BA((A)*)|(((A)*)|((B)*))(((A|B))*))|(((((BB)*)|(BB|((A)*)))((B|B)((B)*)|(B|B)((A)*)))*)), 15, 26 , 1, 893, 12.077 , 1, 329, 42.23 
