B |- B:B |- B, 2, 2 , 1, 2, 0. , 1, 1, 0. 
B |- B:B |- B, 2, 2 , 1, 2, 0. , 1, 1, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- B:B |- B, 2, 2 , 1, 2, 0. , 1, 1, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- B:B |- B, 2, 2 , 1, 2, 0. , 1, 1, 0. 
B |- B:B |- B, 2, 2 , 1, 2, 0. , 1, 1, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
B |- A:B |- A, 2, 2 , 0, 2, 0. , 0, 2, 0. 
