((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A)))) |- (((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A))))|((((A.A).(B.B))|((A.B).(A|A))).(((B.A).(A.A)).((A.B).(A.B))))):AAAAAABA((AA)*)(BA|BA) |- (AAAAAABA((AA)*)(BA|BA)|(AABB|AB(A|A))BAAAABAB), 15, 30 , 1, 16, 0.234 , 1, 1, 0.054 
(((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A))))|((((A.A).(B.B))|((A.B).(A|A))).(((B.A).(A.A)).((A.B).(A.B))))) |- ((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A)))):(AAAAAABA((AA)*)(BA|BA)|(AABB|AB(A|A))BAAAABAB) |- AAAAAABA((AA)*)(BA|BA), 30, 15 , 0, 18, 0.236 , 0, 5, 0.0770000000001 
((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A)))) |- ((((A.A).(B.B))|((A.B).(A|A))).(((B.A).(A.A)).((A.B).(A.B)))):AAAAAABA((AA)*)(BA|BA) |- (AABB|AB(A|A))BAAAABAB, 15, 16 , 0, 4, 0.112 , 0, 4, 0.0469999999999 
((((A.A).(B.B))|((A.B).(A|A))).(((B.A).(A.A)).((A.B).(A.B)))) |- ((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A)))):(AABB|AB(A|A))BAAAABAB |- AAAAAABA((AA)*)(BA|BA), 16, 15 , 0, 5, 0.11 , 0, 4, 0.048 
((((A.A).(A.A)).((A.A).(B.A))).(((A.A)^*).((B.A)|(B.A)))) |- ((((A.A).(B.B)).((B.A).(B|B))).(((A.A).(B.B))|((B.A).(B.A)))):AAAAAABA((AA)*)(BA|BA) |- AABBBA(B|B)(AABB|BABA), 15, 16 , 0, 4, 0.108 , 0, 4, 0.0619999999998 
((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B)))) |- (((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B))))|((((A.A)|(A.B)).((B^*).(A.A)))|(((A.A).(A|A)).((B.B).(A.B))))):(((AB)*)BABB|(A|B)ABABBB) |- ((((AB)*)BABB|(A|B)ABABBB)|((AA|AB)((B)*)AA|AA(A|A)BBAB)), 14, 28 , 1, 29, 0.316 , 1, 1, 0.032 
(((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B))))|((((A.A)|(A.B)).((B^*).(A.A)))|(((A.A).(A|A)).((B.B).(A.B))))) |- ((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B)))):((((AB)*)BABB|(A|B)ABABBB)|((AA|AB)((B)*)AA|AA(A|A)BBAB)) |- (((AB)*)BABB|(A|B)ABABBB), 28, 14 , 0, 29, 0.292 , 0, 6, 0.109 
((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B)))) |- ((((A.A)|(A.B)).((B^*).(A.A)))|(((A.A).(A|A)).((B.B).(A.B)))):(((AB)*)BABB|(A|B)ABABBB) |- ((AA|AB)((B)*)AA|AA(A|A)BBAB), 14, 15 , 0, 13, 0.152 , 0, 5, 0.086 
((((A.A)|(A.B)).((B^*).(A.A)))|(((A.A).(A|A)).((B.B).(A.B)))) |- ((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B)))):((AA|AB)((B)*)AA|AA(A|A)BBAB) |- (((AB)*)BABB|(A|B)ABABBB), 15, 14 , 0, 15, 0.151 , 0, 5, 0.0680000000002 
((((A.B)^*).((B.A).(B.B)))|(((A|B).(A.B)).((A.B).(B.B)))) |- ((((B|A).(B|B))^*).(((A.B).(B.A)).((B.B).(A.A)))):(((AB)*)BABB|(A|B)ABABBB) |- (((B|A)(B|B))*)ABBABBAA, 14, 11 , 0, 11, 0.134 , 0, 4, 0.0549999999997 
((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*))) |- (((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*)))|((((A.A).(A.A)).((A.A).(B.B))).(((B.B).(B|A))|((B.A).(B^*))))):(((AB)*)|BABB)(AB|((A)*))((BA)*) |- ((((AB)*)|BABB)(AB|((A)*))((BA)*)|AAAAAABB(BB(B|A)|BA((B)*))), 12, 26 , 1, 62, 0.499 , 1, 1, 0.086 
(((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*)))|((((A.A).(A.A)).((A.A).(B.B))).(((B.B).(B|A))|((B.A).(B^*))))) |- ((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*))):((((AB)*)|BABB)(AB|((A)*))((BA)*)|AAAAAABB(BB(B|A)|BA((B)*))) |- (((AB)*)|BABB)(AB|((A)*))((BA)*), 26, 12 , 0, 58, 0.484 , 0, 12, 0.341 
((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*))) |- ((((A.A).(A.A)).((A.A).(B.B))).(((B.B).(B|A))|((B.A).(B^*)))):(((AB)*)|BABB)(AB|((A)*))((BA)*) |- AAAAAABB(BB(B|A)|BA((B)*)), 12, 15 , 0, 1, 0.118 , 0, 1, 0.0680000000002 
((((A.A).(A.A)).((A.A).(B.B))).(((B.B).(B|A))|((B.A).(B^*)))) |- ((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*))):AAAAAABB(BB(B|A)|BA((B)*)) |- (((AB)*)|BABB)(AB|((A)*))((BA)*), 15, 12 , 0, 9, 0.162 , 0, 9, 0.218 
((((A.B)^*)|((B.A).(B.B))).(((A.B)|(A^*)).((B.A)^*))) |- ((((B.B)|(A.B)).((B^*)|(B^*)))^*):(((AB)*)|BABB)(AB|((A)*))((BA)*) |- (((BB|AB)(((B)*)|((B)*)))*), 12, 7 , 0, 4, 0.15 , 0, 2, 0.0499999999999 
((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B)))) |- (((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B))))|((((A.A)|(A.A))|((A.A)|(A^*))).(((A.B).(A.A)).((B.B).(B.B))))):((BABB)*)AAABBABB |- (((BABB)*)AAABBABB|((AA|AA)|(AA|((A)*)))ABAABBBB), 13, 28 , 1, 22, 0.235 , 1, 1, 0.0170000000002 
(((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B))))|((((A.A)|(A.A))|((A.A)|(A^*))).(((A.B).(A.A)).((B.B).(B.B))))) |- ((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B)))):(((BABB)*)AAABBABB|((AA|AA)|(AA|((A)*)))ABAABBBB) |- ((BABB)*)AAABBABB, 28, 13 , 0, 26, 0.238 , 0, 8, 0.122 
((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B)))) |- ((((A.A)|(A.A))|((A.A)|(A^*))).(((A.B).(A.A)).((B.B).(B.B)))):((BABB)*)AAABBABB |- ((AA|AA)|(AA|((A)*)))ABAABBBB, 13, 16 , 0, 7, 0.127 , 0, 2, 0.0289999999996 
((((A.A)|(A.A))|((A.A)|(A^*))).(((A.B).(A.A)).((B.B).(B.B)))) |- ((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B)))):((AA|AA)|(AA|((A)*)))ABAABBBB |- ((BABB)*)AAABBABB, 16, 13 , 0, 9, 0.127 , 0, 5, 0.0770000000001 
((((B.A).(B.B))^*).(((A.A).(A.B)).((B.A).(B.B)))) |- ((((B.A).(A.B)).((A.A).(A^*)))|(((A.B).(A.B)).((B^*).(A.A)))):((BABB)*)AAABBABB |- (BAABAA((A)*)|ABAB((B)*)AA), 13, 15 , 0, 6, 0.108 , 0, 4, 0.0399999999998 
((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A)))) |- (((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A))))|((((A|B).(A.B)).((B.B)^*)).(((A.A).(B.A)).((A.A).(A.B))))):(BBAA((A)*)AA|(((A)*)|AA)ABBA) |- ((BBAA((A)*)AA|(((A)*)|AA)ABBA)|(A|B)AB((BB)*)AABAAAAB), 15, 28 , 1, 21, 0.266 , 1, 1, 0.0299999999998 
(((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A))))|((((A|B).(A.B)).((B.B)^*)).(((A.A).(B.A)).((A.A).(A.B))))) |- ((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A)))):((BBAA((A)*)AA|(((A)*)|AA)ABBA)|(A|B)AB((BB)*)AABAAAAB) |- (BBAA((A)*)AA|(((A)*)|AA)ABBA), 28, 15 , 0, 24, 0.3 , 0, 4, 0.07 
((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A)))) |- ((((A|B).(A.B)).((B.B)^*)).(((A.A).(B.A)).((A.A).(A.B)))):(BBAA((A)*)AA|(((A)*)|AA)ABBA) |- (A|B)AB((BB)*)AABAAAAB, 15, 14 , 0, 10, 0.133 , 0, 3, 0.0459999999998 
((((A|B).(A.B)).((B.B)^*)).(((A.A).(B.A)).((A.A).(A.B)))) |- ((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A)))):(A|B)AB((BB)*)AABAAAAB |- (BBAA((A)*)AA|(((A)*)|AA)ABBA), 14, 15 , 0, 9, 0.132 , 0, 6, 0.103 
((((B.B).(A.A)).((A^*).(A.A)))|(((A^*)|(A.A)).((A.B).(B.A)))) |- ((((A.A).(B.B)).((A.B).(B^*)))|(((B.A).(A.B)).((B.B).(B|B)))):(BBAA((A)*)AA|(((A)*)|AA)ABBA) |- (AABBAB((B)*)|BAABBB(B|B)), 15, 15 , 0, 10, 0.136 , 0, 3, 0.0359999999997 
((((B.B).(B.B)).((B.B).(A.B))).(((B.B)^*).((A.A).(A.A)))) |- (((((B.B).(B.B)).((B.B).(A.B))).(((B.B)^*).((A.A).(A.A))))|((((B.B).(A.A))|((A.A).(A.A))).(((B^*).(A.B)).((B.A)|(B^*))))):BBBBBBAB((BB)*)AAAA |- (BBBBBBAB((BB)*)AAAA|(BBAA|AAAA)((B)*)AB(BA|((B)*))), 15, 29 , 1, 20, 0.238 , 1, 1, 0.0590000000003 
(((((B.B).(B.B)).((B.B).(A.B))).(((B.B)^*).((A.A).(A.A))))|((((B.B).(A.A))|((A.A).(A.A))).(((B^*).(A.B)).((B.A)|(B^*))))) |- ((((B.B).(B.B)).((B.B).(A.B))).(((B.B)^*).((A.A).(A.A)))):(BBBBBBAB((BB)*)AAAA|(BBAA|AAAA)((B)*)AB(BA|((B)*))) |- BBBBBBAB((BB)*)AAAA, 29, 15 , 0, 22, 0.241 , 0, 5, 0.132 
