((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- (((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))), 19, 19 , 1, 139, 1.035 , 1, 0, 0.0660000000003 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A^*)^*)^*).(((A.B)|(B^*))^*))^*)|(((((B.A)|(A^*))^*)^*)^*)):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- (((((((((A)*))*))*)(((AB|((B)*)))*))*)|(((((((BA|((A)*)))*))*))*)), 19, 8 , 1, 53, 0.589 , 1, 35, 0.769999999997 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A.B)|(A^*))^*)^*)^*)|(((((A^*)|(A^*))^*)|(((B|B)|(A.B))^*))|((((A.A).(B^*)).((A|B).(B.B)))^*))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- ((((((((AB|((A)*)))*))*))*)|(((((((A)*)|((A)*)))*)|((((B|B)|AB))*))|((AA((B)*)(A|B)BB)*))), 19, 15 , 0, 57, 0.641 , 0, 11, 0.271999999999 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A^*)^*)^*)|(((A^*).(A.A))^*))^*).(((((B.A).(B|A))|((B^*).(A.A)))^*)|((((B.A).(B|B))|((B^*)^*))|(((A^*).(A|A)).((A^*)|(A.A)))))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- (((((((((A)*))*))*)|((((A)*)AA)*)))*)((((BA(B|A)|((B)*)AA))*)|((BA(B|B)|((((B)*))*))|((A)*)(A|A)(((A)*)|AA))), 19, 20 , 0, 19, 0.522 , 0, 5, 0.588 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((B^*)|(A|A)).((A|A)^*)).(((A|B)^*)^*))|((((B.B)|(A^*)).((B.A).(B|A))).(((A^*)|(B^*)).((B.B)^*))))|(((((B^*)|(A^*))|((B|A)^*)).(((A|B).(A.B))^*))^*)):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- (((((B)*)|(A|A))(((A|A))*)(((((A|B))*))*)|(BB|((A)*))BA(B|A)(((A)*)|((B)*))((BB)*))|((((((B)*)|((A)*))|(((B|A))*))(((A|B)AB)*))*)), 19, 21 , 1, 425, 6.073 , 1, 285, 51.383 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A.A)^*)|((B|A)^*))^*).((((A|A).(A^*))^*)|(((A.B)^*)^*))).(((((A^*)^*)|((B^*).(A|A))).(((B^*)|(B.A))^*))|((((B^*)^*).((A|B).(A.B)))|(((A.A).(B|B))^*)))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- (((((AA)*)|(((B|A))*)))*)((((A|A)((A)*))*)|((((AB)*))*))((((((A)*))*)|((B)*)(A|A))(((((B)*)|BA))*)|(((((B)*))*)(A|B)AB|((AA(B|B))*))), 19, 21 , 1, 61, 1.725 , 1, 21, 5.778 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((B|A)^*)|((B|B)|(A.B)))^*)^*)^*):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- ((((((((((B|A))*)|((B|B)|AB)))*))*))*), 19, 5 , 1, 47, 0.582 , 1, 19, 0.32 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((B^*).(B|A))^*)|(((B|B)^*)^*)).((((A.A)^*)|((A.B).(B|A)))|(((B^*)^*)|((B.B)^*))))|(((((A.A)^*).((B.B)^*)).(((B.A)^*).((A^*).(B|B))))^*)):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- ((((((B)*)(B|A))*)|(((((B|B))*))*))((((AA)*)|AB(B|A))|(((((B)*))*)|((BB)*)))|((((AA)*)((BB)*)((BA)*)((A)*)(B|B))*)), 19, 20 , 1, 155, 3.119 , 1, 87, 12.249 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((A|B)^*)^*).(((B.B).(A.B)).((B|A)|(B^*))))|((((B^*).(B|A))|((B|B).(B.B))).(((A.B).(A.A))|((A.A)^*)))).(((((A^*)|(A.B)).((B^*).(B.B))).(((A.B)|(A^*))|((A|B)|(B.B))))|((((B^*).(A|A)).((A^*)^*))^*))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- ((((((A|B))*))*)BBAB((B|A)|((B)*))|(((B)*)(B|A)|(B|B)BB)(ABAA|((AA)*)))((((A)*)|AB)((B)*)BB((AB|((A)*))|((A|B)|BB))|((((B)*)(A|A)((((A)*))*))*)), 19, 34 , 0, 1, 0.407 , 0, 1, 3.283 
((((((A|A)^*)^*)^*)|((((B.A).(A^*))^*)^*))|(((((A^*)^*)^*)|(((A^*).(A|B)).((A^*).(B.A))))|((((A.B)|(A|B))|((B.A)|(A.B))).(((B|A)|(B|A))^*)))) |- ((((((B^*)|(A.A))^*)^*)|((((B.B).(B.A))|((B.B)|(B^*))).(((A^*)^*)|((B^*)^*)))).(((((A.B).(A.B))|((A^*)|(B.A))).(((B|A).(A|B)).((A|A).(B^*)))).((((A^*).(A.B)).((B.B)|(B^*))).(((B^*)|(B^*))^*)))):(((((((((A|A))*))*))*)|((((BA((A)*))*))*))|((((((((A)*))*))*)|((A)*)(A|B)((A)*)BA)|((AB|(A|B))|(BA|AB))((((B|A)|(B|A)))*))) |- ((((((((B)*)|AA))*))*)|(BBBA|(BB|((B)*)))(((((A)*))*)|((((B)*))*)))(ABAB|(((A)*)|BA))(B|A)(A|B)(A|A)((B)*)((A)*)AB(BB|((B)*))(((((B)*)|((B)*)))*), 19, 32 , 0, 1, 0.399 , 0, 1, 5.482 
